pub_title	source_url	raw_data_format	dataset_identifier	data_repository	dataset_context_from_paper	dataset_keywords	citation_type	dataset_webpage	access_mode
OAS1: A Protective Mechanism for Alzheimer’s Disease? An Exploration of Data and Possible Mechanisms	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11765370/	XML	BDRCohort	portal.dementiasplatform.uk	The Brains for Dementia Research (BDR) project is an established semi-longitudinal programme that provides post-mortem brain tissue donations. The DNA bank currently stands at 1127 samples from deceased participants. For this study, 445 samples with neuropathological-confirmed AD and 373 cognitively normal controls without cognitive deficits were analysed. Genotyping of five SNPs across the OAS1 locus was conducted in the BDR Cohort for association with AD. RNA-sequencing data were explored for differences in OAS1 gene expression between phenotypes and genotypes. Genetic data and raw RNA-sequencing reads are available via the Dementias Platform UK Data Portal.	Alzheimer's disease, post-mortem brain tissue, genotyping, RNA-sequencing	Primary		
OAS1: A Protective Mechanism for Alzheimer’s Disease? An Exploration of Data and Possible Mechanisms	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11765370/	XML	GTExdatabase	gtexportal.org	The Genotype-Tissue Expression database (GTEx) was indicated to regulate expression of the OAS1 gene. The exploration of the GTEx database supports higher expression of OAS1 associated with the minor allele of the rs10774671 as well as higher splicing rates in several tissues including multiple brain regions.	gene expression, tissue-specific eQTL, OAS1 regulation	Secondary		
OAS1: A Protective Mechanism for Alzheimer’s Disease? An Exploration of Data and Possible Mechanisms	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11765370/	XML	IGAPdataset	www.ebi.ac.uk	Gene-based association tests utilising the IGAP dataset supported the potential role for OAS1 and other genes in AD pathology. The IGAP dataset was used to validate findings from transcriptomic investigations in mouse models of AD.	genome-wide association, Alzheimer's disease, genetic variants	Secondary	https://www.ebi.ac.uk/pride/archive/projects/IGAPdataset	Complex download
Genetic architecture of epigenetic cortical clock age in brain tissue from older individuals: alterations in	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11346548/	XML	ROSMAP	synapse.org	Religious Orders Study and Rush Memory and Aging Project (ROSMAP) - postmortem cortex tissue and genotyping array data from 694 participants. DNA methylation measured in dorsolateral prefrontal cortex (DLPFC) using Illumina Infinium HumanMethylation450 platform. Genome-wide genotyping performed on Affymetrix GeneChip 6.0 or Illumina OmniQuad Express platforms. Includes annual clinical exams, neuropsychological testing, neuropathologic assessment, and proteomics data from 849 participants. Used for GWAS of cortical epigenetic clock age and validation analyses.	brain aging, epigenetic clock, DNA methylation, genotyping, proteomics	Primary	https://www.synapse.org/[#!]*Synapse:ROSMAP	Complex download or application to access
Genetic architecture of epigenetic cortical clock age in brain tissue from older individuals: alterations in	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11346548/	XML	GSE197305	geo	Brains for Dementia Research (BDR) DNA methylation data deposited in Gene Expression Omnibus. BDR is a UK-based research tissue bank established in 2008 across six dementia research centres with over 600 postmortem brains available. DNA methylation profiled using Illumina EPIC DNAm array interrogating >850,000 DNA methylation sites in prefrontal cortex specimens from 522 participants. Used in meta-analysis with ROSMAP for GWAS of cortical clock age.	brain methylation, dementia research, postmortem brain tissue	Primary	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE197305	Complex download
Genetic architecture of epigenetic cortical clock age in brain tissue from older individuals: alterations in	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11346548/	XML	BrainMeta	www.ebi.ac.uk	Expression QTL data from BrainMeta comprising 2,865 brain cortex samples from 2,443 unrelated individuals of European ancestry with genome-wide SNP data. RNA-seq data sourced from seven cohorts including ROSMAP. Used to examine eQTL effects of lead SNPs from GWAS of cortical clock age.	expression QTL, brain cortex, RNA-seq	Secondary	https://www.ebi.ac.uk/pride/archive/projects/BrainMeta	Complex download
Genetic architecture of epigenetic cortical clock age in brain tissue from older individuals: alterations in	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11346548/	XML	MyND	www.ebi.ac.uk	Myeloid Cells in Neurodegenerative Diseases (MyND) dataset providing eQTL and splicing QTL (sQTL) from sorted monocytes. Used for colocalization analyses to test if lead SNPs from GWAS could be linked to epigenetic age by dysregulation of gene expression in immune cells.	monocytes, splicing QTL, neurodegeneration	Secondary	https://www.ebi.ac.uk/pride/archive/projects/MyND	Complex download
Genetic architecture of epigenetic cortical clock age in brain tissue from older individuals: alterations in	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11346548/	XML	MiGA	www.ebi.ac.uk	Microglia Genomic Atlas (MiGA) dataset providing eQTL and sQTL from primary microglia. Used for colocalization analyses examining if GWAS lead SNPs are causal variants for both cortical clock age and gene expression in microglial cells.	microglia, eQTL, neuroinflammation	Secondary	https://www.ebi.ac.uk/pride/archive/projects/MiGA	Complex download
Genetic architecture of epigenetic cortical clock age in brain tissue from older individuals: alterations in	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11346548/	XML		www.ncbi.nlm.nih.gov	1000 Genomes Project reference panel used for imputation of BDR genotyping data. SNPs with minor allele frequency less than 1% were removed after imputation, yielding 6,607,832 SNPs for analysis.	reference genome, imputation, genetic variants	Secondary		
The risk of developing dementia in the COVID‐19 pandemic; a cohort study	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10952166/	XML	BDR	www.dementiasplatform.uk	Data were obtained from Brains for Dementia Research (BDR), a cohort which has collected approximately annual data from 3112 older adults with and without dementia since 2008. The study used BDR data to examine the effect of the COVID-19 pandemic on the risk of developing dementia. Cognitive status was classified using the Clinical Dementia Rating (CDR) global score. Out of 2273 eligible individuals, 208 developed dementia before and 50 developed dementia after March 1st, 2020. Data continued to be collected during lockdowns by telephone and/or video call instead of in person. The dataset includes detailed information on comorbidities, drinking and smoking status, accommodation, prescribed medication, and cognitive assessments including MMSE, MoCA, and TICS scores.	dementia cohort, cognitive assessment, longitudinal follow-up	Secondary		
Evaluating the Classification Accuracy of Expression Quantitative Trait Loci Calculated Polygenic Risk Scores in Alzheimer’s Disease	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10454324/	XML	BDR	portal.dementiasplatform.uk	Samples selected from the Brains for Dementia Research (BDR) were used to produce gene expression data to identify potential expression quantitative trait loci (eQTLs) relevant to AD. RNA-sequencing data was used to determine gene expression levels in 16 post-mortem frontal cortex samples (8 = AD; 8 = control) taken from the BDR cohort. Gene expression counts suggested the expression of 22,117 genes in the bulk frontal cortex tissue, with 1844 genes demonstrating significant gene expression differences between the AD and control samples. These eQTL SNPs were used to create a PRS model to classify AD and controls in the full BDR cohort (n=356 AD cases and n=164 controls). The BDR cohort has complementary whole genome genotype information obtained from the Illumina Neurochip aligned to hg19 SNP coordinates.	Alzheimer's disease, gene expression, post-mortem brain tissue	Primary		
Evaluating the Classification Accuracy of Expression Quantitative Trait Loci Calculated Polygenic Risk Scores in Alzheimer’s Disease	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10454324/	XML	Lambert	www.ebi.ac.uk	SNP IDs were matched with the GWAS summary statistics of three commonly used datasets: Lambert (International Genomics of Alzheimer's Project (IGAP)). The commonality of SNPs between these datasets and the BDR varied, with effect sizes for APOE isoform SNPs (rs429358 and rs7412) available in the IGAP summary statistics. These summary statistics were used to provide effect sizes for PRS calculations and thresholding models.	GWAS summary statistics, Alzheimer's disease, SNP associations	Secondary	https://www.ebi.ac.uk/pride/archive/projects/Lambert	Complex download
Age‐related hearing loss and dementia‐related neuropathology: An analysis of the United Kingdom brains for dementia research cohort	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10580004/	XML		uk brain bank network and dementias platform uk	The study analysed data on ante-mortem hearing impairment with post-mortem neuropathological data for 442 participants from the Brains for Dementia Research Cohort. Participants were identified from the United Kingdom BDR cohort, which recruited from six regional centres: Oxford, Bristol, Newcastle, Cardiff, London and Manchester. Participants provided written, informed consent prior to assessment and eventual brain tissue donation. During life, participants underwent repeated clinical assessment approximately annually, gathering data on ethnicity, comorbidities, sensory impairment, smoking, socioeconomic status, education level and cognitive/dementia status. Post-mortem neuropathological assessment included standardised evaluation of amyloid-β deposition (Thal phase), neurofibrillary tangles (Braak staging), neuritic plaque density (CERAD score), Lewy body pathology (Braak LB staging and McKeith classification), and cerebrovascular disease (VCING criteria).	dementia neuropathology, brain tissue, post-mortem assessment	Primary		
Distinct Tau PET Dynamics in Early vs. Late Age-of-Onset Alzheimer’s disease	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12870685/	XML	LEADS	leads-study.medicine.iu.edu	The Longitudinal Early-onset Alzheimer's Disease Study (LEADS) is a prospective, multisite observational clinical and biomarker study focusing on cognitively impaired participants diagnosed before the age of 65 (NCT03507257). The study includes 390 participants with early-onset Alzheimer's disease (EOAD) who are amyloid-PET positive and diagnosed with MCI or dementia. Participants underwent tau PET imaging with 18F-Flortaucipir and amyloid PET imaging. A subset of 245 LEADS participants had longitudinal tau PET data with an average follow-up interval of 2.06 years. The study also included 85 cognitively normal individuals with negative Aβ PET scans and 9 with positive Aβ PET scans for comparison purposes.	early-onset Alzheimer's disease, tau PET, amyloid PET, longitudinal neuroimaging	Primary		
Distinct Tau PET Dynamics in Early vs. Late Age-of-Onset Alzheimer’s disease	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12870685/	XML	ADNI	adni.loni.usc.edu	The Alzheimer's Disease Neuroimaging Initiative (ADNI) is a multicenter study launched in 2003 (NCT02854033) designed to test whether imaging techniques, biological markers, and clinical assessments can measure the progression of mild cognitive impairment and early Alzheimer's disease. For this analysis, 211 participants with late-onset Alzheimer's disease (LOAD) were identified who were amyloid-PET positive and diagnosed with MCI or dementia. A subset of 99 LOAD participants had longitudinal tau PET data with 18F-Flortaucipir with an average follow-up interval of 2.80 years. Additionally, 328 cognitively normal individuals with negative Aβ PET scans and 125 with positive Aβ PET scans were included for comparison of tau PET binding patterns.	late-onset Alzheimer's disease, tau PET, amyloid PET, longitudinal neuroimaging	Primary		
Alzheimer's disease polygenic risk in early‐ and late‐onset Alzheimer's disease	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12802089/	XML	LEADS	loni.usc.edu	The Longitudinal Early-Onset Alzheimer's Disease Study (LEADS) is an international, multisite, prospective observational study enrolling participants with clinical diagnosis of EOAD (age 40-64 years) and cognitively normal controls. The study includes 595 participants with harmonized dataset including amyloid PET imaging, genetic data, cognitive assessments (MMSE, MoCA, RAVLT, ADAS-Cog), cerebrospinal fluid biomarkers (Aβ42/40, pTau181, tTau, NfL, Ng, VILIP-1, YKL-40, SNAP-25), and neuroimaging data. Final analysis included 487 LEADS participants with European ancestry and genetic/cognitive data.	early-onset Alzheimer's disease, biomarkers, neuroimaging	Primary		
Alzheimer's disease polygenic risk in early‐ and late‐onset Alzheimer's disease	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12802089/	XML	ADNI	adni.loni.usc.edu	The Alzheimer's Disease Neuroimaging Initiative (ADNI) is a multiphase, multisite longitudinal study of mild cognitive impairment and AD. Participants are enrolled at over 60 sites in the US and Canada. The harmonized dataset included 796 ADNI participants classified as LOAD/LOnonAD/CN with extensive longitudinal collections including demographics, clinical assessments, neuropsychological testing, multimodal neuroimaging, GWAS, and genomics data. Final analysis included 672 ADNI participants with European ancestry and genetic data available.	late-onset Alzheimer's disease, longitudinal neuroimaging, cognitive decline	Secondary		
Alzheimer's disease polygenic risk in early‐ and late‐onset Alzheimer's disease	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12802089/	XML	PGS000026	www.pgscatalog.org	A late-onset Alzheimer's disease polygenic score (PGS) generated by Desikan et al. was obtained from the Polygenic Score Catalog. The PGS included 33 SNPs selected from GWAS results. Of these, 32 variants were used in final score calculation after quality control and proxy SNP selection using LDlink. The PGS was calculated using PLINK version 2.0 as a summed score centered on zero and converted to z-scores for analysis.	polygenic risk score, LOAD genetics, SNP weights	Secondary		
Alzheimer's disease polygenic risk in early‐ and late‐onset Alzheimer's disease	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12802089/	XML		www.internationalgenome.org	1000 Genomes Phase 3 data was used as reference population for genetic ancestry determination and imputation. Data were imputed using the Michigan Imputation Server 2 with 1000 Genomes Phase 3 data and phasing with Eagle. Non-Hispanic European-ancestry participants were identified by genetic clustering of principal components using 1000 Genomes Phase 3 data with k-means clustering.	reference genome, ancestry inference, imputation	Secondary		
Tablet‐based Cognitive Assessment Tool (TabCAT) in a multisite study of early‐onset Alzheimer's disease	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12703652/	XML	LEADS	longitudinal early-onset alzheimer's disease study  multisite study across 16 us sites 	The Longitudinal Early-Onset Alzheimer's Disease Study (LEADS) is a multisite longitudinal study of early-onset Alzheimer's disease (EOAD) that aims to characterize the pathophysiological processes of EOAD using clinical, biomarker (including imaging), and genetic measures, and develop cognitive and biomarker outcome measures optimized for clinical trials in EOAD. Since 2018, LEADS has recruited participants from 17 sites across the United States, of which 14 are National Institute on Aging (NIA)-supported Alzheimer's Disease Research Centers. The study includes 475 participants from 16 LEADS sites with TabCAT measurements at baseline: 83 cognitively unimpaired participants, 146 individuals diagnosed with mild cognitive impairment (MCI), and 246 with mild dementia. Participants underwent standardized clinical assessment including neurological evaluation, neuropsychological assessments (including TabCAT), structural MRI, and amyloid/tau PET imaging.	early-onset Alzheimer's disease, cognitive assessment, biomarkers, neuroimaging	Primary		
Gamma sensory stimulation in mild Alzheimer's dementia: An open‐label extension study	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12552893/	XML	NCT04055376	clinicaltrials.gov	Five participants from the original single-blinded, randomized, placebo-controlled trial (NCT04055376) designed to evaluate the safety and efficacy of 40 Hz GENUS in patients with mild AD dementia chose to continue in an open-label extension. Four participants had been in the control arm and switched to using 1-h daily GENUS stimulation, and one participant had been in the treatment arm and continued for a total of 30 months from baseline.	40 Hz audiovisual stimulation, Alzheimer's disease, clinical trial	Primary		
Gamma sensory stimulation in mild Alzheimer's dementia: An open‐label extension study	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12552893/	XML	NACC	www.alz.washington.edu	Control (no-GENUS) data were obtained from the National Alzheimer's Coordinating Center (NACC) database. Participants were matched to open-label extension participants on age range by sex and that had a CDR global score of 0.5 or 1 and an MMSE score ≥ 19 and ≤ 26 at baseline. Control participants with test scores for at least three visits spaced out over at least 24 and at most 36 months were selected.	Alzheimer's disease, cognitive assessment, longitudinal data	Secondary		
Gamma sensory stimulation in mild Alzheimer's dementia: An open‐label extension study	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12552893/	XML	ADNI	adni.loni.usc.edu	Control (no-GENUS) data were obtained from the Alzheimer's Disease Neuroimaging Initiative (ADNI) database. Participants were matched on age range by sex with CDR global score of 0.5 or 1 and MMSE score ≥ 19 and ≤ 26 at baseline, with test scores for at least three visits over 24-36 months. MRI data were also obtained from ADNI for brain structure volume measurements.	Alzheimer's disease, neuroimaging, biomarkers	Secondary		
Gamma sensory stimulation in mild Alzheimer's dementia: An open‐label extension study	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12552893/	XML	LEADS	www.leads-study.org	Control (no-GENUS) data were obtained from the Longitudinal Early-Onset Alzheimer's Disease Study (LEADS) database. Participants were matched to open-label extension participants on age range by sex with CDR global score of 0.5 or 1 and MMSE score ≥ 19 and ≤ 26 at baseline, with test scores for at least three visits spaced over 24-36 months.	early-onset Alzheimer's disease, longitudinal study, cognitive outcomes	Secondary		
Characterizing and validating 12-month reliable cognitive change in Early-Onset Alzheimer's Disease for use in clinical trials	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11954665/	XML	LEADS	longitudinal early-onset alzheimer's disease study  leads  - multi-site consortium across united states	The Longitudinal Early-Onset Alzheimer's Disease Study (LEADS, NIA R56057195, NIA U016057195) was initiated in 2018 to provide deeper understanding of sporadic EOAD. Beginning with 18 sites across the United States, LEADS sought to become the most comprehensive repository of clinical, biomarker, and pathologic data on participants diagnosed with sporadic AD between ages 40–64. The current study included 310 LEADS participants: 189 participants with amyloid-positive EOAD, 43 participants with amyloid-negative EOnonAD, and 78 CN participants. All participants possessed baseline and 12-month follow-up data that passed quality-control checks as of April 2024. Participants underwent standardized cognitive assessment at baseline and 12-month follow-up using measures from the National Alzheimer's Coordinating Center's (NACC) Uniform Data Set (UDS) 3.0, brain imaging using MRI and PET for β-amyloid and tau, and clinical evaluation.	Early-onset Alzheimer's disease, cognitive assessment, neuroimaging biomarkers	Primary		
Heterogeneous clinical phenotypes of sporadic early-onset Alzheimer’s disease: a neuropsychological data-driven approach	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11800584/	XML	LEADS	www.leads-study.org	The Longitudinal Early-Onset Alzheimer's Disease Study (LEADS) is a multicenter cohort comprising 264 participants with early-onset Alzheimer's disease (EOAD) and 98 cognitively normal participants. The study enrolled participants aged 40-64 years at 18 sites. Participants received comprehensive clinical assessments including neuropsychological testing, structural MRI, and amyloid PET imaging. The current analysis examined neuropsychological test performance from 169 amyloid-positive EOAD participants to identify distinct phenotypic subtypes using a data-driven approach comparing cognitive domain impairment patterns.	early-onset Alzheimer's disease, neuropsychological testing, phenotypes	Primary		
Argentina–Alzheimer's Disease Neuroimaging Initiative: pioneering Alzheimer's Research in Latin America and its Implications for Regional Advancement	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11567812/	XML	Arg-ADNI	instituto neurológico fleni, buenos aires, argentina	Argentina-ADNI (Arg-ADNI) was founded in 2011 as part of the international ADNI. Patient assessment took place from 2012 to 2019. A total of 56 participants were included at baseline and underwent comprehensive clinical neurological and neuropsychological assessments, neuroimaging studies (MRI and PET scan), laboratory assessments, and cerebrospinal fluid (CSF) analysis including genetic evaluation. Each patient underwent medical monitoring for 60 months involving 4 medical visits. The sample was divided into four groups: normal controls (NC), early mild cognitive impairment (MCI), late MCI, and AD dementia. The dataset includes clinical, imaging, genetic, and biochemical biomarkers for early detection and monitoring of AD progression.	Alzheimer's disease, biomarkers, neuroimaging	Primary		
The Sporadic Early-Onset Alzheimer’s Disease Signature of Atrophy: Preliminary findings from the Longitudinal Early-onset Alzheimer’s Disease Study (LEADS) Cohort	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10829523/	XML	LEADS	www.leads-study.org	The Longitudinal Early-onset Alzheimer's Disease Study (LEADS) is a large multicenter cohort including 211 EOAD patients, 68 amyloid-negative cognitively impaired participants (EOnonAD) patients, and 88 cognitively normal (CN) participants enrolled across 18 sites. All participants are between 40-64 years old at study enrollment. The study includes structural MRI and 18F-Florbetaben (FBB) PET neuroimaging at baseline. Central reads of baseline FBB PET scans were performed using a hybrid approach with visual reads and global quantification of standardized uptake value ratio (SUVR). All diagnoses within LEADS are made via consensus criteria. The LEADS cohort was used as a large validation sample to test the reproducibility of the EOAD-Signature atrophy pattern identified in the MGH discovery cohort.	early-onset Alzheimer's disease, MRI neuroimaging, amyloid PET	Primary		
The Sporadic Early-Onset Alzheimer’s Disease Signature of Atrophy: Preliminary findings from the Longitudinal Early-onset Alzheimer’s Disease Study (LEADS) Cohort	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10829523/	XML		massachusetts general hospital	The MGH EOAD cohort included 25 patients who were participants in the ongoing MGH Frontotemporal Disorders Unit Longitudinal Cohort. All participants received standard clinical evaluation including structured history, patient examination, Clinical Dementia Rating (CDR) scoring, and neuropsychological assessment. Clinical diagnostic formulation was performed through consensus conference by a multidisciplinary team. Regarding cognitive-behavioral syndrome, three individuals met criteria for Posterior Cortical Atrophy (PCA), four for dysexecutive variant of Alzheimer's disease, and 18 for amnesic-dysexecutive multidomain syndrome. All MGH participants underwent MRI sessions. The diagnosis of EOAD was supported in six cases by amyloid PET using 11C-Pittsburgh Compound B (PiB) PET, in 10 cases by cerebrospinal fluid amyloid and tau biomarkers, in six cases by neuropathological criteria at autopsy, and in three cases by FDG-PET scans. This cohort served as the discovery sample for defining the EOAD-Signature atrophy pattern.	early-onset Alzheimer's disease, cortical atrophy, MRI biomarker	Primary		
Pathogenic Variants in the Longitudinal Early-Onset Alzheimer’s Disease Study Cohort	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10783439/	XML	LEADS	leads-study.medicine.iu.edu	The Longitudinal Early-Onset Alzheimer's Disease Study (LEADS) targets enrollment of individuals with early onset (age 40-64 years) cognitive impairment. LEADS participants are screened for brain amyloid positivity (EOAD) or negativity (EOnonAD) using positron emission tomography (PET) neuroimaging. This study includes 299 individuals with early onset cognitive impairment enrolled in LEADS who had biospecimens including DNA collected at baseline and were assessed with a neurocognitive battery as well as neuroimaging including PET amyloid and tau imaging. LEADS data are available by request; proposals will be reviewed by the LEADS Data Sharing Committee.	early-onset Alzheimer's disease, genetic variants, whole exome sequencing	Primary		
